PHÂN TÍCH DATABASE,Category,Subcategory,Address,State,Zip,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Email,Website,Languages,Services,Vietnamese_Speaking,Years_Experience,Notes,Google_Maps_Search,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",Google_Maps_Link,Link_Type
Saigon Block,Restaurant,Vietnamese,"2150 East Arapaho Road, Suite 200",TX,75081,,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,10:00 AM - 9:30 PM,11:30 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:30 PM,,,Vietnamese/English,Vietnamese restaurant,Yes,,,Saigon Block Richardson TX,,https://www.google.com/maps/place/?q=place_id:ChIJedTRPJMeTIYRRR0WTTaes4w,PLACE_ID
Pho MC,Restaurant,Vietnamese,7447 N MacArthur Blvd #170,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese restaurant,Yes,,,Pho MC Irving TX,,https://www.google.com/maps/place/?q=place_id:ChIJMWHmYjYpTIYRGhHoZD_D6Ek,PLACE_ID
Pho Que Huong Noodles & Grill,Restaurant,Vietnamese,1401 Jupiter Rd #100,TX,,(945) 215-0607,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,11:00 AM - 8:30 PM,CLOSED,CLOSED,,,Vietnamese/English,Noodles & Grill,Yes,,,Pho Que Huong Jupiter Plano,,https://www.google.com/maps/place/?q=place_id:ChIJDYRt1pwYTIYRIml_St9OYMI,PLACE_ID
Pho 544,Restaurant,Vietnamese,121 East FM 544,TX,75098,,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 4:00 PM,,,Vietnamese/English,Vietnamese pho,Yes,,Family business,Pho 544 Wylie TX,,https://www.google.com/maps/place/?q=place_id:ChIJlS4nvG0bTIYRQ4NXRlUcJys,PLACE_ID
Pho Street Cafe,Restaurant,Vietnamese,3483 FM 544 #110,TX,75098,,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 8:00 PM,,,Vietnamese/English,Vietnamese cafe,Yes,,,Pho Street Cafe Wylie,,https://www.google.com/maps/place/?q=place_id:ChIJoel_qkYbTIYRRbXUbciFXF0,PLACE_ID
Pho Garden Rockwall,Restaurant,Vietnamese,423 E I-30,TX,75087,(972) 771-2777,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,CLOSED,,,Vietnamese/English,Vietnamese restaurant,Yes,,,Pho Garden Rockwall TX,,https://www.google.com/maps/place/?q=place_id:ChIJZ9QfNxOqToYRUBpB5A5IOc4,PLACE_ID
Pho Pasteur,Restaurant,Vietnamese,1826 W Pioneer Pkwy,TX,76013,(817) 461-7600,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,,,Vietnamese/English,"Vietnamese restaurant, established 1998",Yes,Since 1998,,Pho Pasteur Arlington TX,,https://www.google.com/maps/place/?q=place_id:ChIJDSSmSk99ToYRCqEQqJosHa8,PLACE_ID
Bistro B,Restaurant,Vietnamese,9780 Walnut St #340,TX,75243,(214) 575-9885,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,,Vietnamese/English,"Pho, varied menu, 24/7",Yes,,,Bistro B Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJe8T_YrgfTIYRCtzLxPb3XRI,PLACE_ID
Pho Tay Do,Restaurant,Vietnamese,1403 E Campbell Rd,TX,75081,(972) 238-8929,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,,,Vietnamese/English,Authentic Pho,Yes,,,Pho Tay Do Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJ_1OmAdseTIYR9j-yGQ87BQY,PLACE_ID
Pho Apple,Restaurant,Vietnamese,5930 W Park Blvd #400,TX,75093,(972) 248-8882,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Pho Apple Plano,,https://www.google.com/maps/place/?q=place_id:ChIJIZ4VgYIjTIYRO8I0IY-8K1I,PLACE_ID
What The Pho,Restaurant,Vietnamese,7300 Lone Star Dr #C150,TX,75024,(972) 377-6238,,,,,,,,,,Vietnamese/English,Vietnamese Restaurant,Yes,,,What The Pho Plano,,https://www.google.com/maps/place/?q=place_id:ChIJhzRAzMcZTIYRhCtw0XsnWfg,PLACE_ID
Pho Boba House,Restaurant,Vietnamese,8505 Lakeview Pkwy #306,TX,75088,(972) 412-1400,,,,,,,,,,Vietnamese/English,"Pho, Boba Tea",Yes,,,Pho Boba House Rowlett,,https://www.google.com/maps/place/?q=place_id:ChIJv6UNgnICTIYRQS40ZgczF0U,PLACE_ID
Pho 78,Restaurant,Vietnamese,3510 Main St,TX,75088,(469) 998-9993,,,,,,,,,,Vietnamese/English,Vietnamese Pho,Yes,,,Pho 78 Rowlett,,https://www.google.com/maps/place/?q=place_id:ChIJ8TTHzqEdTIYRFef_rnbkRRc,PLACE_ID
Pho Big Bowl,Restaurant,Vietnamese,1025 W Hebron Pkwy #140,TX,75010,(972) 394-0199,,,,,,,,,,Vietnamese/English,Pho & Vietnamese Dishes,Yes,,,Pho Big Bowl Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJgf-6UgolTIYRRg6aCXkyMd0,PLACE_ID
Pho Xom,Restaurant,Vietnamese,3052 Old Denton Rd #108,TX,75007,(972) 242-2055,,,,,,,,,,Vietnamese/English,"Northern Vietnamese Pho, Coconut Coffee",Yes,,,Pho Xom Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJ10wUfTklTIYRcOffBnj1EUs,PLACE_ID
Cafe China & Pho,Restaurant,Vietnamese,3108 Old Denton Rd #102,TX,75007,(972) 245-5666,,,,,,,,,,Vietnamese/English,Chinese & Vietnamese fusion,Yes,,,Cafe China Pho Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJk68zQe0lTIYRNp-ViXLhVak,PLACE_ID
Kim Son Restaurant,Restaurant,Vietnamese,1601 E Arkansas Ln,TX,76010,(817) 277-2266,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Kim Son Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJDSSmSk99ToYRJIlBYpNQ5BQ,PLACE_ID
Thanh Thanh Vietnamese,Restaurant,Vietnamese,2515 E Arkansas Ln,TX,76010,(817) 274-0300,,,,,,,,,,Vietnamese/English,Vietnamese Restaurant,Yes,,,Thanh Thanh Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJOf6C8NuHToYR6yDAmHz1wRE,PLACE_ID
Pho Empire,Restaurant,Vietnamese,3591 N Belt Line Rd,TX,75062,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Empire Irving,,https://www.google.com/maps/place/?q=place_id:ChIJ2dyDkzuCToYR8kECeK7zj7o,PLACE_ID
Pho Palace,Restaurant,Vietnamese,512 E Hwy 67,TX,75137,,,,,,,,,,,Vietnamese/English,Vietnamese Restaurant,Yes,,,Pho Palace Duncanville,,https://www.google.com/maps/place/?q=place_id:ChIJ2zjaqAFhToYR9VX2Ycm9PqY,PLACE_ID
Vietnam Restaurant,Restaurant,Vietnamese,4302 Bryan St,TX,75204,(214) 821-4542,,,,,,,,,,Vietnamese/English,Classic Vietnamese,Yes,,,Vietnam Restaurant Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJ7-_pYc6YToYRrQhPXDQROI8,PLACE_ID
Má»¹ Lan Restaurant,Restaurant,Vietnamese,4015 E Belknap St,TX,76117,(817) 834-2977,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,,,Vietnamese/English,Authentic Vietnamese,Yes,,,My Lan Restaurant Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJ079Z2DV3ToYR3dQWykKCvBQ,PLACE_ID
VÄ©nh BÃ¬nh,Restaurant,Vietnamese,5310 E Belknap St Ste D,TX,76117,(817) 831-2999,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Vinh Binh Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJUUSMxF53ToYRriSt_qcL1Zk,PLACE_ID
Bun Dong Ba,Restaurant,Vietnamese,4023 E Belknap St #B,TX,76117,(817) 222-9900,,,,,,,,,,Vietnamese/English,Hue Style Noodle Soup,Yes,,,Bun Dong Ba Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJK7ebDjZ3ToYRu6h358coa0I,PLACE_ID
Phá»Ÿ ThiÃªn Ã,Restaurant,Vietnamese,4045 E Belknap St #1,TX,76117,(817) 831-2012,,,,,,,,,,Vietnamese/English,Pho Noodle Soup,Yes,,,Pho Thien Y Haltom City,,https://www.google.com/maps/search/?api=1&query=Ph%C3%A1%C2%BB%C5%B8%20Thi%C3%83%C2%AAn%20%C3%83%C2%9D%204045%20E%20Belknap%20St%20%231%20TX%2076117,SEARCH
Saigon Deli,Restaurant,Vietnamese,5304 E Belknap St,TX,76117,(817) 838-8985,,,,,,,,,,Vietnamese/English,Banh Mi & Deli,Yes,,,Saigon Deli Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJL52e2l53ToYRBw2G7cV4WuY,PLACE_ID
Pho Hung Grand Prairie,Restaurant,Vietnamese,2615 W Pioneer Pkwy #108,TX,75051,(972) 988-2883,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Hung Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJgUVKiy2GToYR7_LZTFL6qbw,PLACE_ID
First Noodle/First Tofu,Restaurant,Vietnamese,2615 W Pioneer Pkwy #120,TX,75051,,,,,,,,,,,Vietnamese/English,Tofu & Noodle Specialist,Yes,,,First Noodle Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJZy1XkTeHToYRjqjNujYMt1U,PLACE_ID
Pho Ngon 999,Restaurant,Vietnamese,2615 W Pioneer Pkwy #123,TX,75051,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Ngon 999 Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJH9ic0y2GToYRi_FvAL2lwRk,PLACE_ID
Pho 95 Cooper,Restaurant,Vietnamese,5005 S Cooper St #187,TX,76017,(817) 465-5999,,,,,,,,,,Vietnamese/English,Asian Fusion & Pho,Yes,,,Pho 95 Cooper Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJSbNU_eJiToYROODt1ZnzUiI,PLACE_ID
Pho 95 Arkansas,Restaurant,Vietnamese,2525 E Arkansas Ln #233,TX,76010,(817) 303-9999,,,,,,,,,,Vietnamese/English,Asian Fusion & Pho,Yes,,,Pho 95 Arkansas Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJ6yUI8NuHToYR3ZOIg8p6T4M,PLACE_ID
Ba Le Restaurant,Restaurant,Vietnamese,2240 Browning Dr,TX,76010,(817) 274-0697,,,,,,,,,,Vietnamese/English,Traditional Vietnamese,Yes,,,Ba Le Restaurant Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJrW6tUvqHToYRxEoC_-FvFQk,PLACE_ID
Pho Pasteur Arlington,Restaurant,Vietnamese,3330 Matlock Rd #102,TX,76015,(817) 468-2321,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Pasteur Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJDSSmSk99ToYRCqEQqJosHa8,PLACE_ID
Pho Banh Mi Viet,Restaurant,Vietnamese,7630 N Beach St #110,TX,76137,(817) 769-9999,9:00 AM - 9:00 PM,,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,10:00 AM - 8:30 PM,,,Vietnamese/English,Pho & Banh Mi,Yes,,,Pho Banh Mi Viet Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJvzOX1SDZTYYRwMIUug4sNsU,PLACE_ID
Pho Noodle & Grill,Restaurant,Vietnamese,4601 West Fwy,TX,76107,(817) 737-3333,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,,,Vietnamese/English,Noodle & Grill,Yes,,,Pho Noodle Grill Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJQdOpAqxzToYRMgdywkcnBnk,PLACE_ID
Pho House,Restaurant,Vietnamese,9400 Clifford St,TX,76108,,,,,,,,,,,Vietnamese/English,Pho Specialist,Yes,,,Pho House Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJ3Rc8G4AMToYRA88YGDv8Lfc,PLACE_ID
Pho Hop,Restaurant,Vietnamese,5022 E Belknap St,TX,76117,,,,,,,,,,,Vietnamese/English,Pho & Broth Specialist,Yes,,,Pho Hop Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJx8SXDFt3ToYRUs4lbChJftw,PLACE_ID
I Luv Pho,Restaurant,Vietnamese,8350 N MacArthur Blvd #100,TX,75063,(972) 401-0100,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,I Luv Pho Irving,,https://www.google.com/maps/place/?q=place_id:ChIJJ3F8pVEoTIYRsoX7Z22-FPQ,PLACE_ID
Pho Legacy,Restaurant,Vietnamese,3109 N Belt Line Rd #142,TX,75062,(972) 570-5657,,,,,,,,,,Vietnamese/English,Pho & Grill,Yes,,,Pho Legacy Irving,,https://www.google.com/maps/place/?q=place_id:ChIJTcjzkzCCToYRBRNWl8gpukQ,PLACE_ID
Pho One Lewisville,Restaurant,Vietnamese,2305 S State Hwy 121 #101,TX,75067,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho One Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJ5XY_Ko4uTIYRHBe0oYLZY-4,PLACE_ID
Pho Que Huong Lewisville,Restaurant,Vietnamese,291 E Round Grove Rd,TX,75067,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Que Huong Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJB-Gy4ZIuTIYRkxtr7RIQzic,PLACE_ID
Texas Pho House,Restaurant,Vietnamese,9144 Prestmont Pl #200,TX,75035,,,,,,,,,,,Vietnamese/English,Pho House,Yes,,,Texas Pho House Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJQYAWcI09TIYRmgSZsuCCnJ0,PLACE_ID
Pho Que Huong Frisco,Restaurant,Vietnamese,5110 Eldorado Pkwy #200,TX,75033,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Que Huong Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJ2T6g7k45TIYRi4j6ydke26I,PLACE_ID
Pho Lane,Restaurant,Vietnamese,7551 Eldorado Pkwy #500,TX,75070,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Lane McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJZd3IWxcVTIYRcVK-znsiqT8,PLACE_ID
King Noodle Sushi,Restaurant,Vietnamese,909 Tripp Rd #130,TX,75150,,,,,,,,,,,Vietnamese/English,Asian Fusion,Yes,,,King Noodle Mesquite,,https://www.google.com/maps/place/?q=place_id:ChIJV_tO2dalToYRd2LEj-D0AME,PLACE_ID
Pho Bistro McKinney,Restaurant,Vietnamese,1720 W University Dr,TX,75069,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Bistro McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJFS4zXAoTTIYRK2c9QAAazIs,PLACE_ID
Pho Lane Express,Restaurant,Vietnamese,7551 Eldorado Pkwy #500,TX,75070,,,,,,,,,,,Vietnamese/English,Express Vietnamese,Yes,,,Pho Lane Express McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJZd3IWxcVTIYRcVK-znsiqT8,PLACE_ID
Pho Que Huong McKinney,Restaurant,Vietnamese,1720 Eldorado Pkwy #101,TX,75069,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Que Huong McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJU9yordgTTIYRNHJZuZg1Oew,PLACE_ID
Pho Crystal,Restaurant,Vietnamese,431 E Stacy Rd #105,TX,75002,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Crystal Allen,,https://www.google.com/maps/place/?q=place_id:ChIJfa-uzCERTIYR1NCWN0j_Ank,PLACE_ID
Miss Saigon Cafe Hurst,Restaurant,Vietnamese,932 Melbourne Rd,TX,76053,(817) 284-7735,,,,,,,,,,Vietnamese/English,Cafe & Boba,Yes,,,Miss Saigon Cafe Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJDzFneyB5ToYRsY6ZPQ-P7P0,PLACE_ID
Pho One Hurst,Restaurant,Vietnamese,724 Grapevine Hwy,TX,76054,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho One Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJw1oj6EV5ToYRcYz_3d_nzO0,PLACE_ID
Not Just Pho,Restaurant,Vietnamese,316 E Pipeline Rd,TX,76053,,,,,,,,,,,Vietnamese/English,Authentic Vietnamese,Yes,,,Not Just Pho Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJFd9H51N_ToYRkW0TOQe1vsQ,PLACE_ID
V's House,Restaurant,Vietnamese,8743 W Bedford Euless Rd,TX,76180,,,,,,,,,,,Vietnamese/English,Elevated Vietnamese,Yes,,,Vs House NRH,,https://www.google.com/maps/place/?q=place_id:ChIJt8Py_yt5ToYRmv1uScnzypI,PLACE_ID
Banh Mi Dalat Carrollton,Restaurant,Vietnamese,3733 N Josey Ln,TX,75007,,,,,,,,,,,Vietnamese/English,Banh Mi & Pho,Yes,,,Banh Mi Dalat Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJtcywArAlTIYREQm27bVWsU4,PLACE_ID
Viet FastFood,Restaurant,Vietnamese,2704 E Southlake Blvd #102,TX,76092,,,,,,,,,,,Vietnamese/English,Pho & Fast Food,Yes,,,Viet FastFood Southlake,,https://www.google.com/maps/place/?q=place_id:ChIJHQfpAgLVTYYRbKZuk4fe-Hk,PLACE_ID
Malai Kitchen Southlake,Restaurant,Asian Fusion,1161 E Southlake Blvd,TX,,,,,,,,,,,Vietnamese/English,Thai & Vietnamese,Yes,,,Malai Kitchen Southlake,,,https://www.google.com/maps/place/?q=place_id:ChIJGTHfmPXUTYYRWqfplORsQck,PLACE_ID
My Lan Vietnamese Kitchen,Restaurant,Vietnamese,5307 Colleyville Blvd,TX,76034,,,,,,,,,,,Vietnamese/English,Vietnamese Kitchen,Yes,,,My Lan Colleyville,,https://www.google.com/maps/place/?q=place_id:ChIJOyPdgPLVTYYRpTp2hu3rnf0,PLACE_ID
Pho Duy Colleyville,Restaurant,Vietnamese,3930 Glade Rd #126,TX,76034,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Duy Colleyville,,https://www.google.com/maps/place/?q=place_id:ChIJle1mVlfVTYYR52sbqyyQlaM,PLACE_ID
Pho Xpress Grapevine,Restaurant,Vietnamese,2805 E Grapevine Mills Cir #126,TX,76051,,,,,,,,,,,Vietnamese/English,Pho & Panini,Yes,,,Pho Xpress Grapevine,,https://www.google.com/maps/place/?q=place_id:ChIJk5zZqIQrTIYRzsMfvsIgk0g,PLACE_ID
Pho Em,Restaurant,Vietnamese,640 W Debbie Ln,TX,76063,,,,,,,,,,,Vietnamese/English,Pho & Crab Noodle,Yes,,,Pho Em Mansfield,,https://www.google.com/maps/place/?q=place_id:ChIJcZa1zsZhToYR1CS17EJdl7Y,PLACE_ID
House of Pho Burleson,Restaurant,Vietnamese,12848 South Fwy #200,TX,76028,,,,,,,,,,,Vietnamese/English,Pho House,Yes,,,House of Pho Burleson,,https://www.google.com/maps/place/?q=place_id:ChIJr2RsPxZpToYR2m0VAnq-m84,PLACE_ID
Pho Noodle & Asian Cuisine,Restaurant,Vietnamese,1035 N Highway 77 #200,TX,,,,,,,,,,,,Vietnamese/English,Pho & Asian Cuisine,Yes,,,Pho Noodle Waxahachie,,https://www.google.com/maps/place/?q=place_id:ChIJ9eqkRcnuToYR8JDJ6CJvUVA,PLACE_ID
Pho Duc Midlothian,Restaurant,Vietnamese,1000 E Main St #304,TX,,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Duc Midlothian,,https://www.google.com/maps/place/?q=place_id:ChIJFwx750LzToYRudIrwh3novY,PLACE_ID
Pho Nhu Y Red Oak,Restaurant,Vietnamese,219 S HWY 342 #120,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese Kitchen,Yes,,,Pho Nhu Y Red Oak,,https://www.google.com/maps/place/?q=place_id:ChIJ8fHnsPHrToYRQ98wSJAr-sI,PLACE_ID
Má»¹ Lan Restaurant,Restaurant,Vietnamese,4015 E Belknap St,TX,,,,,,,,,,,,Vietnamese/English,Pho & Banh Mi,Yes,,,My Lan Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJ079Z2DV3ToYR3dQWykKCvBQ,PLACE_ID
VÄ©nh BÃ¬nh Restaurant,Restaurant,Vietnamese,5310 E Belknap St #D,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Vinh Binh Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJUUSMxF53ToYRriSt_qcL1Zk,PLACE_ID
Pho Hung Restaurant,Restaurant,Vietnamese,4125 E Belknap St #107,TX,,,,,,,,,,,,Vietnamese/English,Pho & Banh Mi,Yes,,,Pho Hung Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJhfphyEl3ToYRcU52dXuePbY,PLACE_ID
Bun Dong Ba,Restaurant,Vietnamese,4023 E Belknap St #B,TX,,,,,,,,,,,,Vietnamese/English,Noodle House,Yes,,,Bun Dong Ba Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJK7ebDjZ3ToYRu6h358coa0I,PLACE_ID
Phá»Ÿ ThiÃªn Ã Deli,Restaurant,Vietnamese,5310 E Belknap St,TX,,,,,,,,,,,,Vietnamese/English,Banh Mi & Deli,Yes,,,Pho Thien Y Haltom City,,https://www.google.com/maps/search/?api=1&query=Ph%C3%A1%C2%BB%C5%B8%20Thi%C3%83%C2%AAn%20%C3%83%C2%9D%20Deli%205310%20E%20Belknap%20St%20TX%20,SEARCH
Pho Nam Restaurant,Restaurant,Vietnamese,4045 E Belknap St #1,TX,,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Nam Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJzc12GzZ3ToYRQS--1vR5Aao,PLACE_ID
Saigon Deli Haltom City,Restaurant,Vietnamese,5304 E Belknap St,TX,,,,,,,,,,,,Vietnamese/English,Banh Mi & Deli,Yes,,,Saigon Deli Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJL52e2l53ToYRBw2G7cV4WuY,PLACE_ID
Tu Hai Restaurant,Restaurant,Vietnamese,3909 E Belknap St,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Tu Hai Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJsU20ODR3ToYRcWlqIg2dUDw,PLACE_ID
Viet Tofu,Restaurant,Asian Fusion,4045 E Belknap St #7,TX,,,,,,,,,,,,Vietnamese/English,Tofu & Deli,Yes,,,Viet Tofu Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJzc12GzZ3ToYRsA7QS0Vvew8,PLACE_ID
Pho In The Box Keller,Restaurant,Vietnamese,536 Keller Pkwy,TX,76248,,,,,,,,,,,Vietnamese/English,Pho Express,Yes,,,Pho In The Box Keller,,https://www.google.com/maps/place/?q=place_id:ChIJS8IZABXXTYYRDcNnBbdUZpM,PLACE_ID
PHO REAL Keller,Restaurant,Vietnamese,8653 N Beach St,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Pho Real Keller,,https://www.google.com/maps/place/?q=place_id:ChIJVQjselXZTYYRX3jTo5XRdhI,PLACE_ID
Pho Real Saginaw,Restaurant,Vietnamese,900 N Blue Mound Rd #120,TX,76131,,,,,,,,,,,Vietnamese/English,Pho Restaurant,Yes,,,Pho Real Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJCX23iO3ZTYYRQ1Mc49E9Lno,PLACE_ID
Banh Mi Viet Saginaw,Restaurant,Vietnamese,7630 N Beach St,TX,,,,,,,,,,,,Vietnamese/English,Banh Mi,Yes,,,Banh Mi Viet Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJvzOX1SDZTYYRwMIUug4sNsU,PLACE_ID
Easy Freshly Saginaw,Restaurant,Vietnamese,7630 N Beach St,TX,,,,,,,,,,,,Vietnamese/English,Vietnamese Cuisine,Yes,,,Easy Freshly Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJ4waLnW3YTYYRTEmg7kqUHPg,PLACE_ID
Pho Hotpot & Crawfish 7,Restaurant,Vietnamese,5302 E Belknap St,TX,,,,,,,,,,,,Vietnamese/English,Pho & Hotpot,Yes,,,Pho Hotpot Crawfish Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJETu3zV53ToYR3urRYq6NPmo,PLACE_ID
Pho Banh Mi Viet Saginaw,Restaurant,Vietnamese,7630 N Beach St,TX,,,,,,,,,,,,Vietnamese/English,Pho & Banh Mi,Yes,,,Pho Banh Mi Viet Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJvzOX1SDZTYYRwMIUug4sNsU,PLACE_ID
My Lan Restaurant,Restaurant,Vietnamese,5307 E Belknap St,TX,76117,(817) 834-2288,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,,,Vietnamese/English,Traditional Vietnamese cuisine,Yes,,,My Lan Restaurant Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJ079Z2DV3ToYR3dQWykKCvBQ,PLACE_ID
Sikhay Thai Lao & Vietnamese,Restaurant,Vietnamese,3301 NE 28th St,TX,76111,(817) 834-8700,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,CLOSED,,,Vietnamese/English/Lao/Thai,Fusion cuisine,Yes,,,Sikhay Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJNRslGSN3ToYR2fveaX29ALQ,PLACE_ID
